# Time	Cd	Cl	Cm
1	1.00897e-06	3.53225e-07	0
2	1.57777e-06	1.90704e-07	0
3	8.25643e-07	-1.9597e-07	0
4	-5.05527e-07	-3.28007e-07	0
5	-9.04722e-07	-1.22782e-07	0
6	1.37683e-10	8.76683e-08	0
7	1.02952e-06	8.53633e-08	0
8	1.08401e-06	-6.60595e-08	0
9	3.06801e-07	-1.62517e-07	0
10	-2.99223e-07	-1.13069e-07	0
11	-1.55836e-07	-2.29958e-09	0
12	4.22342e-07	2.50184e-08	0
13	7.31065e-07	-4.48944e-08	0
14	5.38606e-07	-1.19685e-07	0
15	1.73078e-07	-1.15805e-07	0
16	6.52443e-08	-5.56457e-08	0
17	2.51553e-07	-3.65714e-09	0
18	4.63888e-07	-1.85734e-08	0
19	4.78018e-07	-6.924e-08	0
20	3.41772e-07	-1.05509e-07	0
21	2.40306e-07	-9.27438e-08	0
22	2.70729e-07	-5.18584e-08	0
23	3.67752e-07	-2.28897e-08	0
24	4.15672e-07	-3.33084e-08	0
25	3.80622e-07	-6.63436e-08	0
26	3.24594e-07	-8.72884e-08	0
27	3.1267e-07	-7.85922e-08	0
28	3.47631e-07	-5.56643e-08	0
29	3.85914e-07	-3.77017e-08	0
30	3.91936e-07	-4.05661e-08	0
31	3.71798e-07	-5.82326e-08	0
32	3.54182e-07	-7.25964e-08	0
33	3.55666e-07	-7.18025e-08	0
34	3.72672e-07	-5.80851e-08	0
35	3.87917e-07	-4.60338e-08	0
36	3.91091e-07	-4.58028e-08	0
37	3.86276e-07	-5.47277e-08	0
38	3.81394e-07	-6.27086e-08	0
39	3.81847e-07	-6.27757e-08	0
40	3.87192e-07	-5.67707e-08	0
41	3.93227e-07	-5.13353e-08	0
42	3.97192e-07	-5.0761e-08	0
43	3.98894e-07	-5.3884e-08	0
44	3.99208e-07	-5.68275e-08	0
45	3.99388e-07	-5.65254e-08	0
46	4.00576e-07	-5.45345e-08	0
47	4.02884e-07	-5.31588e-08	0
48	4.05901e-07	-5.2996e-08	0
49	4.08495e-07	-5.35694e-08	0
50	4.10335e-07	-5.44145e-08	0
51	4.11292e-07	-5.36556e-08	0
52	4.1198e-07	-5.30595e-08	0
53	4.13292e-07	-5.2999e-08	0
54	4.15234e-07	-5.31693e-08	0
55	4.17346e-07	-5.2697e-08	0
56	4.1915e-07	-5.32483e-08	0
57	4.2046e-07	-5.28886e-08	0
58	4.21638e-07	-5.262e-08	0
59	4.22852e-07	-5.25038e-08	0
60	4.24308e-07	-5.22244e-08	0
61	4.26005e-07	-5.25224e-08	0
62	4.27694e-07	-5.24238e-08	0
63	4.29196e-07	-5.2124e-08	0
64	4.30549e-07	-5.21494e-08	0
65	4.31758e-07	-5.19738e-08	0
66	4.3309e-07	-5.20813e-08	0
67	4.34708e-07	-5.23432e-08	0
68	4.36374e-07	-5.20692e-08	0
69	4.38003e-07	-5.17455e-08	0
70	4.39465e-07	-5.1723e-08	0
71	4.40631e-07	-5.15152e-08	0
72	4.41844e-07	-5.16563e-08	0
73	4.43344e-07	-5.20161e-08	0
74	4.45038e-07	-5.1904e-08	0
75	4.46726e-07	-5.15746e-08	0
76	4.48165e-07	-5.11941e-08	0
77	4.49376e-07	-5.12206e-08	0
78	4.50598e-07	-5.15012e-08	0
79	4.52051e-07	-5.19043e-08	0
80	4.5359e-07	-5.17256e-08	0
81	4.55075e-07	-5.1387e-08	0
82	4.56445e-07	-5.11889e-08	0
83	4.57733e-07	-5.12292e-08	0
84	4.58979e-07	-5.13772e-08	0
85	4.60172e-07	-5.13749e-08	0
86	4.61452e-07	-5.14015e-08	0
87	4.62757e-07	-5.13838e-08	0
88	4.64046e-07	-5.13516e-08	0
89	4.65298e-07	-5.12791e-08	0
90	4.66428e-07	-5.12285e-08	0
91	4.67573e-07	-5.12807e-08	0
92	4.68627e-07	-5.12875e-08	0
93	4.69682e-07	-5.1155e-08	0
94	4.70728e-07	-5.1146e-08	0
95	4.71768e-07	-5.12919e-08	0
96	4.72796e-07	-5.14096e-08	0
97	4.73786e-07	-5.13595e-08	0
98	4.74756e-07	-5.12582e-08	0
99	4.75664e-07	-5.11321e-08	0
100	4.76506e-07	-5.11188e-08	0
101	4.77236e-07	-5.12949e-08	0
102	4.78082e-07	-5.13257e-08	0
103	4.79013e-07	-5.12181e-08	0
104	4.79852e-07	-5.1146e-08	0
105	4.80564e-07	-5.1145e-08	0
106	4.81136e-07	-5.12031e-08	0
107	4.81772e-07	-5.13226e-08	0
108	4.82462e-07	-5.1258e-08	0
109	4.83225e-07	-5.10357e-08	0
110	4.83823e-07	-5.09863e-08	0
111	4.84347e-07	-5.10678e-08	0
112	4.849e-07	-5.11649e-08	0
113	4.85506e-07	-5.11613e-08	0
114	4.86079e-07	-5.09988e-08	0
115	4.8652e-07	-5.08144e-08	0
116	4.8673e-07	-5.08907e-08	0
117	4.87115e-07	-5.1007e-08	0
118	4.87565e-07	-5.10757e-08	0
119	4.88035e-07	-5.09174e-08	0
120	4.88497e-07	-5.07128e-08	0
121	4.88861e-07	-5.06087e-08	0
122	4.88948e-07	-5.06811e-08	0
123	4.88965e-07	-5.07918e-08	0
124	4.8913e-07	-5.07361e-08	0
125	4.89296e-07	-5.0611e-08	0
126	4.89499e-07	-5.04698e-08	0
127	4.89538e-07	-5.0449e-08	0
128	4.89524e-07	-5.04874e-08	0
129	4.89567e-07	-5.04426e-08	0
130	4.8945e-07	-5.02957e-08	0
131	4.89043e-07	-5.01715e-08	0
132	4.88581e-07	-5.01278e-08	0
133	4.88145e-07	-5.01688e-08	0
134	4.87604e-07	-5.01893e-08	0
135	4.87433e-07	-5.01308e-08	0
136	4.87174e-07	-4.98206e-08	0
137	4.86558e-07	-4.95026e-08	0
138	4.85538e-07	-4.94401e-08	0
139	4.8412e-07	-4.97429e-08	0
140	4.83018e-07	-4.98284e-08	0
141	4.81857e-07	-4.98246e-08	0
142	4.8094e-07	-4.92222e-08	0
143	4.79716e-07	-4.87349e-08	0
144	4.7787e-07	-4.88326e-08	0
145	4.76005e-07	-4.91995e-08	0
146	4.74373e-07	-4.93669e-08	0
147	4.72802e-07	-4.90697e-08	0
148	4.70827e-07	-4.85491e-08	0
149	4.68128e-07	-4.83099e-08	0
150	4.65155e-07	-4.84002e-08	0
151	4.62378e-07	-4.85065e-08	0
152	4.596e-07	-4.85082e-08	0
153	4.5686e-07	-4.82093e-08	0
154	4.53983e-07	-4.77848e-08	0
155	4.50614e-07	-4.76564e-08	0
156	4.4704e-07	-4.77358e-08	0
157	4.43411e-07	-4.77239e-08	0
158	4.39385e-07	-4.75687e-08	0
159	4.34857e-07	-4.74414e-08	0
160	4.30192e-07	-4.72221e-08	0
161	4.25405e-07	-4.70519e-08	0
162	4.20478e-07	-4.70199e-08	0
163	4.15089e-07	-4.71679e-08	0
164	4.10773e-07	-4.67473e-08	0
165	4.0551e-07	-4.59916e-08	0
166	3.99622e-07	-4.5696e-08	0
167	3.93102e-07	-4.61762e-08	0
168	3.8674e-07	-4.64425e-08	0
169	3.80241e-07	-4.63039e-08	0
170	3.73367e-07	-4.57148e-08	0
171	3.66011e-07	-4.51703e-08	0
172	3.58091e-07	-4.52209e-08	0
173	3.50134e-07	-4.54379e-08	0
174	3.42378e-07	-4.52761e-08	0
175	3.34485e-07	-4.48242e-08	0
176	3.26303e-07	-4.43726e-08	0
177	3.17393e-07	-4.44148e-08	0
178	3.08108e-07	-4.44887e-08	0
179	2.98627e-07	-4.44812e-08	0
180	2.89221e-07	-4.41614e-08	0
181	2.79236e-07	-4.39163e-08	0
182	2.68231e-07	-4.37044e-08	0
183	2.56536e-07	-4.36564e-08	0
184	2.4504e-07	-4.34094e-08	0
185	2.3354e-07	-4.32706e-08	0
186	2.21942e-07	-4.30265e-08	0
187	2.09889e-07	-4.28132e-08	0
188	1.9737e-07	-4.27162e-08	0
189	1.84441e-07	-4.25213e-08	0
190	1.71285e-07	-4.23245e-08	0
191	1.57711e-07	-4.22834e-08	0
192	1.44238e-07	-4.20821e-08	0
193	1.3058e-07	-4.1716e-08	0
194	1.16422e-07	-4.14659e-08	0
195	1.00674e-07	-4.17015e-08	0
196	8.39201e-08	-4.17412e-08	0
197	6.67328e-08	-4.17431e-08	0
198	5.11922e-08	-4.07939e-08	0
199	3.54042e-08	-4.00568e-08	0
200	1.80966e-08	-4.00995e-08	0
201	-2.91246e-10	-4.04182e-08	0
202	-1.87124e-08	-4.05079e-08	0
203	-3.66113e-08	-4.00722e-08	0
204	-5.422e-08	-3.92391e-08	0
205	-7.28324e-08	-3.90873e-08	0
