# Time	forces(pressure, viscous) moment(pressure, viscous)
1	(((13.5092 5.34979 -7.57396e-19) (1.73524 -0.0129156 -4.93478e-23)) ((-0.0679424 0.171567 -8.38451e-08) (0.000164028 0.0220376 -0.000797989)))
2	(((22.7216 2.88845 -1.42214e-18) (1.11688 -0.00710145 -6.48177e-23)) ((-0.0366833 0.288565 3.64069e-08) (9.01884e-05 0.0141844 -0.000457175)))
3	(((11.6264 -2.95583 -1.30737e-18) (0.848252 -0.00508463 -2.26045e-23)) ((0.037539 0.147655 2.16872e-07) (6.45748e-05 0.0107728 -0.000338845)))
4	(((-8.41969 -4.95003 -7.15881e-19) (0.781674 -0.00583309 -5.57933e-24)) ((0.0628654 -0.10693 2.59929e-07) (7.40803e-05 0.00992726 -0.000368655)))
5	(((-14.4634 -1.84794 -3.41013e-19) (0.793952 -0.00718275 -1.148e-23)) ((0.0234688 -0.183685 1.55775e-07) (9.1221e-05 0.0100832 -0.000430908)))
6	(((-0.805618 1.33253 -5.13292e-19) (0.807698 -0.00794835 -2.6472e-23)) ((-0.0169231 -0.0102313 5.36434e-08) (0.000100944 0.0102578 -0.00046709)))
7	(((14.7532 1.29784 -8.97245e-19) (0.801811 -0.00808681 -3.3761e-23)) ((-0.0164826 0.187365 5.89559e-08) (0.000102702 0.010183 -0.000473272)))
8	(((15.5939 -0.990102 -1.05207e-18) (0.784423 -0.00799224 -2.76387e-23)) ((0.0125743 0.198042 1.27899e-07) (0.000101501 0.00996218 -0.000468003)))
9	(((3.87058 -2.44754 -9.00063e-19) (0.764883 -0.00792002 -1.77868e-23)) ((0.0310838 0.0491564 1.62877e-07) (0.000100584 0.00971402 -0.000464806)))
10	(((-5.2674 -1.70046 -6.95216e-19) (0.746437 -0.00790295 -1.49807e-23)) ((0.0215958 -0.0668959 1.26004e-07) (0.000100368 0.00947975 -0.000464883)))
11	(((-3.08396 -0.0268421 -6.56292e-19) (0.729431 -0.00790219 -1.97604e-23)) ((0.000340895 -0.0391662 7.19175e-08) (0.000100358 0.00926377 -0.000463296)))
12	(((5.66747 0.385896 -7.74923e-19) (0.713703 -0.00789304 -2.49808e-23)) ((-0.00490088 0.0719769 6.65613e-08) (0.000100242 0.00906402 -0.000459231)))
13	(((10.3467 -0.670441 -8.83289e-19) (0.698961 -0.00786907 -2.51782e-23)) ((0.0085146 0.131403 1.15543e-07) (9.99372e-05 0.0088768 -0.000454448)))
14	(((7.45298 -1.8005 -8.83453e-19) (0.684821 -0.00783293 -2.15341e-23)) ((0.0228663 0.0946528 1.53614e-07) (9.94782e-05 0.00869723 -0.000450073)))
15	(((1.94395 -1.74191 -8.12353e-19) (0.671091 -0.00778679 -1.87791e-23)) ((0.0221223 0.0246881 1.42178e-07) (9.88922e-05 0.00852286 -0.000446794)))
16	(((0.327906 -0.833031 -7.70488e-19) (0.657871 -0.00772034 -1.93435e-23)) ((0.0105795 0.0041644 9.68172e-08) (9.80483e-05 0.00835496 -0.000443906)))
17	(((3.15538 -0.0476112 -7.90719e-19) (0.645336 -0.00764462 -2.15986e-23)) ((0.000604663 0.0400733 6.96899e-08) (9.70867e-05 0.00819577 -0.000439646)))
18	(((6.37537 -0.273047 -8.3375e-19) (0.633519 -0.00757921 -2.26854e-23)) ((0.0034677 0.0809672 8.60489e-08) (9.6256e-05 0.0080457 -0.000433884)))
19	(((6.6001 -1.03862 -8.47178e-19) (0.622287 -0.00752582 -2.18165e-23)) ((0.0131905 0.0838213 1.25157e-07) (9.55779e-05 0.00790305 -0.000427955)))
20	(((4.55238 -1.58666 -8.29049e-19) (0.611459 -0.00747527 -2.04421e-23)) ((0.0201505 0.0578152 1.45701e-07) (9.49359e-05 0.00776552 -0.00042279)))
21	(((3.02982 -1.39385 -8.1005e-19) (0.600969 -0.00741585 -2.01402e-23)) ((0.0177019 0.0384787 1.30847e-07) (9.41813e-05 0.00763231 -0.000418404)))
22	(((3.49958 -0.776191 -8.13065e-19) (0.590872 -0.00733775 -2.09139e-23)) ((0.00985763 0.0444447 9.85295e-08) (9.31894e-05 0.00750408 -0.000414149)))
23	(((4.97515 -0.338592 -8.30612e-19) (0.58122 -0.00724981 -2.16497e-23)) ((0.00430011 0.0631844 8.32145e-08) (9.20726e-05 0.00738149 -0.000409258)))
24	(((5.70841 -0.496088 -8.40805e-19) (0.571989 -0.00716927 -2.15583e-23)) ((0.00630032 0.0724968 9.91434e-08) (9.10497e-05 0.00726427 -0.000403623)))
25	(((5.18772 -0.995282 -8.34958e-19) (0.563107 -0.00710344 -2.09336e-23)) ((0.0126401 0.065884 1.2534e-07) (9.02137e-05 0.00715145 -0.000397896)))
26	(((4.34979 -1.3118 -8.24117e-19) (0.554504 -0.00704529 -2.05692e-23)) ((0.0166598 0.0552424 1.36125e-07) (8.94752e-05 0.00704219 -0.000392654)))
27	(((4.17797 -1.18047 -8.22014e-19) (0.546165 -0.00698103 -2.07991e-23)) ((0.014992 0.0530602 1.23621e-07) (8.86591e-05 0.00693629 -0.000387827)))
28	(((4.71425 -0.834129 -8.30005e-19) (0.538114 -0.00690349 -2.12656e-23)) ((0.0105934 0.059871 1.04644e-07) (8.76744e-05 0.00683404 -0.000383067)))
29	(((5.30042 -0.562818 -8.39098e-19) (0.530362 -0.00681788 -2.14469e-23)) ((0.00714778 0.0673153 9.70871e-08) (8.65871e-05 0.0067356 -0.00037805)))
30	(((5.39888 -0.606178 -8.41099e-19) (0.522886 -0.00673534 -2.12296e-23)) ((0.00769847 0.0685658 1.06142e-07) (8.55388e-05 0.00664065 -0.000372755)))
31	(((5.10185 -0.873174 -8.3708e-19) (0.515647 -0.00666313 -2.09323e-23)) ((0.0110893 0.0647935 1.20108e-07) (8.46218e-05 0.00654872 -0.000367457)))
32	(((4.84272 -1.09026 -8.33352e-19) (0.508618 -0.00659872 -2.08932e-23)) ((0.0138463 0.0615025 1.25694e-07) (8.38038e-05 0.00645945 -0.000362388)))
33	(((4.87197 -1.07833 -8.33831e-19) (0.501792 -0.00653332 -2.11253e-23)) ((0.0136948 0.061874 1.19869e-07) (8.29732e-05 0.00637276 -0.000357488)))
34	(((5.13553 -0.871148 -8.38396e-19) (0.495175 -0.00646033 -2.13831e-23)) ((0.0110636 0.0652213 1.09967e-07) (8.20462e-05 0.00628872 -0.000352595)))
35	(((5.37228 -0.689145 -8.42839e-19) (0.488769 -0.00638066 -2.14528e-23)) ((0.00875214 0.068228 1.05447e-07) (8.10344e-05 0.00620737 -0.000347641)))
36	(((5.42643 -0.685734 -8.44261e-19) (0.482562 -0.00630121 -2.13467e-23)) ((0.00870882 0.0689157 1.08368e-07) (8.00253e-05 0.00612854 -0.000342662)))
37	(((5.35971 -0.820653 -8.43585e-19) (0.476534 -0.00622774 -2.12401e-23)) ((0.0104223 0.0680683 1.14365e-07) (7.90923e-05 0.00605198 -0.000337744)))
38	(((5.29182 -0.941306 -8.42628e-19) (0.470668 -0.00616002 -2.12675e-23)) ((0.0119546 0.0672061 1.17117e-07) (7.82323e-05 0.00597749 -0.000332932)))
39	(((5.30437 -0.942385 -8.42787e-19) (0.464959 -0.00609322 -2.141e-23)) ((0.0119683 0.0673655 1.1496e-07) (7.73839e-05 0.00590497 -0.000328177)))
40	(((5.39069 -0.851726 -8.44336e-19) (0.459405 -0.00602317 -2.15507e-23)) ((0.0108169 0.0684617 1.10825e-07) (7.64943e-05 0.00583445 -0.000323414)))
41	(((5.48727 -0.769677 -8.4621e-19) (0.454007 -0.0059498 -2.16065e-23)) ((0.00977489 0.0696883 1.08478e-07) (7.55624e-05 0.00576589 -0.000318639)))
42	(((5.55241 -0.761072 -8.47682e-19) (0.448759 -0.0058763 -2.15926e-23)) ((0.00966562 0.0705157 1.08912e-07) (7.46291e-05 0.00569924 -0.0003139)))
43	(((5.58324 -0.808329 -8.48706e-19) (0.443649 -0.00580542 -2.15801e-23)) ((0.0102658 0.0709072 1.10493e-07) (7.37288e-05 0.00563434 -0.000309248)))
44	(((5.59298 -0.85287 -8.49378e-19) (0.438669 -0.00573719 -2.16157e-23)) ((0.0108314 0.0710308 1.10661e-07) (7.28623e-05 0.0055711 -0.000304683)))
45	(((5.60055 -0.848373 -8.4993e-19) (0.433812 -0.00566958 -2.16871e-23)) ((0.0107743 0.071127 1.09413e-07) (7.20037e-05 0.00550942 -0.000300163)))
46	(((5.62323 -0.818361 -8.5054e-19) (0.429077 -0.00560112 -2.17523e-23)) ((0.0103932 0.071415 1.0771e-07) (7.11342e-05 0.00544927 -0.00029564)))
47	(((5.66272 -0.797645 -8.51307e-19) (0.424459 -0.00553208 -2.17866e-23)) ((0.0101301 0.0719166 1.06652e-07) (7.02574e-05 0.00539063 -0.000291115)))
48	(((5.7128 -0.795254 -8.52413e-19) (0.419957 -0.00546359 -2.17992e-23)) ((0.0100997 0.0725526 1.0674e-07) (6.93875e-05 0.00533346 -0.000286625)))
49	(((5.75639 -0.803984 -8.53546e-19) (0.415565 -0.00539635 -2.18139e-23)) ((0.0102106 0.0731062 1.06623e-07) (6.85336e-05 0.00527768 -0.000282201)))
50	(((5.78848 -0.816819 -8.54591e-19) (0.411277 -0.00533004 -2.18411e-23)) ((0.0103736 0.0735137 1.05474e-07) (6.76915e-05 0.00522321 -0.000277848)))
51	(((5.80713 -0.805419 -8.55346e-19) (0.407088 -0.00526394 -2.18727e-23)) ((0.0102288 0.0737506 1.04434e-07) (6.68521e-05 0.00517002 -0.000273541)))
52	(((5.82161 -0.796479 -8.55813e-19) (0.402996 -0.00519771 -2.18954e-23)) ((0.0101153 0.0739345 1.03243e-07) (6.60109e-05 0.00511805 -0.000269251)))
53	(((5.84543 -0.795631 -8.56358e-19) (0.398999 -0.00513178 -2.1905e-23)) ((0.0101045 0.074237 1.02751e-07) (6.51736e-05 0.00506728 -0.000264981)))
54	(((5.87869 -0.798268 -8.57032e-19) (0.395092 -0.00506671 -2.19075e-23)) ((0.010138 0.0746593 1.02312e-07) (6.43472e-05 0.00501767 -0.000260742)))
55	(((5.91441 -0.791197 -8.57812e-19) (0.391273 -0.00500249 -2.19102e-23)) ((0.0100482 0.075113 1.0182e-07) (6.35317e-05 0.00496916 -0.000256546)))
56	(((5.9454 -0.79959 -8.58697e-19) (0.387538 -0.00493884 -2.19151e-23)) ((0.0101548 0.0755066 1.0009e-07) (6.27232e-05 0.00492173 -0.000252399)))
57	(((5.96885 -0.794219 -8.59464e-19) (0.383885 -0.00487537 -2.19176e-23)) ((0.0100866 0.0758043 9.89268e-08) (6.19173e-05 0.00487534 -0.000248302)))
58	(((5.99022 -0.790224 -8.60128e-19) (0.38031 -0.00481207 -2.19144e-23)) ((0.0100358 0.0760757 9.81616e-08) (6.11133e-05 0.00482994 -0.000244236)))
59	(((6.01206 -0.788531 -8.60666e-19) (0.376813 -0.00474918 -2.19053e-23)) ((0.0100143 0.0763532 9.737e-08) (6.03146e-05 0.00478552 -0.000240197)))
60	(((6.03749 -0.784372 -8.61187e-19) (0.373389 -0.00468689 -2.18921e-23)) ((0.00996152 0.0766761 9.70308e-08) (5.95235e-05 0.00474204 -0.000236188)))
61	(((6.06648 -0.788936 -8.61792e-19) (0.370037 -0.00462527 -2.18763e-23)) ((0.0100195 0.0770443 9.57235e-08) (5.87409e-05 0.00469947 -0.000232213)))
62	(((6.09528 -0.787507 -8.62449e-19) (0.366755 -0.00456419 -2.18582e-23)) ((0.0100013 0.0774101 9.46092e-08) (5.79652e-05 0.00465778 -0.00022828)))
